dataset,model,window_s,seed,test_subject_0based,test_accuracy_percent,source,source_file,validation_status
DTU,CNN,0.5,2025,0,69.53125,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,1,49.82244318181818,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,2,58.203125,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,3,63.24573863636363,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,4,50.95880681818182,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,5,51.91761363636363,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,6,54.47443181818182,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,7,50.49715909090909,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,8,63.38778409090909,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,9,53.69318181818182,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,10,61.29261363636363,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,11,59.44602272727273,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,12,52.55681818181818,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,13,50.10653409090909,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,14,60.15625,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,15,51.02982954545454,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,16,54.61647727272727,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,17,57.88352272727273,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,18,48.721590909090914,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,19,67.8622159090909,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,CNN,0.5,2025,20,51.77556818181818,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,XANet,0.5,2025,0,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,1,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,2,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,3,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,4,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,5,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,6,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,7,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,8,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,9,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,10,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,11,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,12,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,13,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,14,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,15,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,16,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,17,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,18,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,19,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,XANet,0.5,2025,20,50.0,exp038,exp038_legacy_baselines_fair/derived_results/loso_cell_results.csv,PASS
DTU,DenseNet,0.5,2025,0,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,1,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,2,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,3,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,4,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,5,49.82244318181818,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,6,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,7,50.07102272727273,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,8,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,9,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,10,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,11,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,12,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,13,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,14,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,15,49.92897727272727,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,16,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,17,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,18,49.96448863636363,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,19,50.0,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DenseNet,0.5,2025,20,49.96448863636363,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DARNet,0.5,2025,0,77.48579545454545,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
DTU,DARNet,0.5,2025,1,60.01420454545454,exp037,exp037_dtu_loso_fair_baselines/derived_results/cell_results.csv,PASS
