dataset,model,window_s,fold,seed,accuracy_percent,source_run,validation_status
DTU,ListenNet,0.5,0,2025,50.56141774891775,yj_dtu_20260923,PASS
DTU,ListenNet,0.5,1,2025,48.85010822510822,yj_dtu_20260923,PASS
DTU,ListenNet,0.5,2,2025,51.298701298701296,yj_dtu_20260923,PASS
DTU,ListenNet,0.5,3,2025,50.730519480519476,yj_dtu_20260923,PASS
DTU,ListenNet,1,0,2025,51.6504329004329,yj_dtu_20260923,PASS
DTU,ListenNet,1,1,2025,48.32251082251082,yj_dtu_20260923,PASS
DTU,ListenNet,1,2,2025,50.90638528138528,yj_dtu_20260923,PASS
DTU,ListenNet,1,3,2025,49.59415584415584,yj_dtu_20260923,PASS
DTU,ListenNet,2,0,2025,48.89069264069264,yj_dtu_20260923,PASS
DTU,ListenNet,2,1,2025,48.917748917748916,yj_dtu_20260923,PASS
DTU,ListenNet,2,2,2025,50.378787878787875,yj_dtu_20260923,PASS
DTU,ListenNet,2,3,2025,49.621212121212125,yj_dtu_20260923,PASS
DTU,MDFNet,1,0,2025,65.84145021645021,exp041_mdfnet_fig2_1s_lto,PASS
DTU,MDFNet,1,1,2025,72.10497835497836,exp041_mdfnet_fig2_1s_lto,PASS
DTU,MDFNet,1,2,2025,69.89989177489177,exp041_mdfnet_fig2_1s_lto,PASS
DTU,MDFNet,1,3,2025,69.49404761904762,exp041_mdfnet_fig2_1s_lto,PASS
DTU,MHANet,0.5,0,2025,48.931277056277054,yj_dtu_20260923,PASS
DTU,MHANet,0.5,1,2025,50.06087662337663,yj_dtu_20260923,PASS
DTU,MHANet,0.5,2,2025,51.068722943722946,yj_dtu_20260923,PASS
DTU,MHANet,0.5,3,2025,61.60037878787878,yj_dtu_20260923,PASS
DTU,MHANet,1,0,2025,58.11688311688312,yj_dtu_20260923,PASS
DTU,MHANet,1,1,2025,48.95833333333333,yj_dtu_20260923,PASS
DTU,MHANet,1,2,2025,49.94588744588744,yj_dtu_20260923,PASS
DTU,MHANet,1,3,2025,61.810064935064936,yj_dtu_20260923,PASS
DTU,MHANet,2,0,2025,60.984848484848484,yj_dtu_20260923,PASS
DTU,MHANet,2,1,2025,50.541125541125545,yj_dtu_20260923,PASS
DTU,MHANet,2,2,2025,49.24242424242424,yj_dtu_20260923,PASS
DTU,MHANet,2,3,2025,66.58549783549783,yj_dtu_20260923,PASS
KUL,ListenNet,0.5,0,2025,77.82118055555556,exp036_listennet_strict_lto,PASS
KUL,ListenNet,0.5,1,2025,77.09635416666667,exp036_listennet_strict_lto,PASS
KUL,ListenNet,0.5,2,2025,79.66145833333333,exp036_listennet_strict_lto,PASS
KUL,ListenNet,0.5,3,2025,73.87586805555556,exp036_listennet_strict_lto,PASS
KUL,ListenNet,1,0,2025,78.34201388888889,exp040_mdfnet_long_windows_lto,PASS
KUL,ListenNet,1,1,2025,76.328125,exp040_mdfnet_long_windows_lto,PASS
KUL,ListenNet,1,2,2025,80.85069444444444,exp040_mdfnet_long_windows_lto,PASS
KUL,ListenNet,1,3,2025,75.35590277777777,exp040_mdfnet_long_windows_lto,PASS
KUL,ListenNet,2,0,2025,79.20138888888889,exp040_mdfnet_long_windows_lto,PASS
KUL,ListenNet,2,1,2025,78.55902777777779,exp040_mdfnet_long_windows_lto,PASS
KUL,ListenNet,2,2,2025,80.67708333333333,exp040_mdfnet_long_windows_lto,PASS
KUL,ListenNet,2,3,2025,76.18055555555556,exp040_mdfnet_long_windows_lto,PASS
KUL,MDFNet,1,0,2025,80.03472222222221,exp041_mdfnet_fig2_1s_lto,PASS
KUL,MDFNet,1,1,2025,76.20659722222223,exp041_mdfnet_fig2_1s_lto,PASS
KUL,MDFNet,1,2,2025,84.921875,exp041_mdfnet_fig2_1s_lto,PASS
KUL,MDFNet,1,3,2025,78.828125,exp041_mdfnet_fig2_1s_lto,PASS
KUL,MHANet,0.5,0,2025,78.75868055555556,exp038_legacy_baselines_fair,PASS
KUL,MHANet,0.5,1,2025,74.34027777777777,exp038_legacy_baselines_fair,PASS
KUL,MHANet,0.5,2,2025,78.15972222222223,exp038_legacy_baselines_fair,PASS
KUL,MHANet,0.5,3,2025,74.11892361111111,exp038_legacy_baselines_fair,PASS
KUL,MHANet,1,0,2025,80.44270833333333,exp040_mdfnet_long_windows_lto,PASS
KUL,MHANet,1,1,2025,72.95138888888889,exp040_mdfnet_long_windows_lto,PASS
KUL,MHANet,1,2,2025,78.55034722222223,exp040_mdfnet_long_windows_lto,PASS
KUL,MHANet,1,3,2025,74.93923611111111,exp040_mdfnet_long_windows_lto,PASS
KUL,MHANet,2,0,2025,78.24652777777777,exp040_mdfnet_long_windows_lto,PASS
KUL,MHANet,2,1,2025,73.94097222222223,exp040_mdfnet_long_windows_lto,PASS
KUL,MHANet,2,2,2025,80.98958333333334,exp040_mdfnet_long_windows_lto,PASS
KUL,MHANet,2,3,2025,77.17013888888889,exp040_mdfnet_long_windows_lto,PASS
